title;link;votes
Helen Keller on her life before self-consciousness (1908);http://scentofdawn.blogspot.com/2011/07/before-soul-dawn-helen-keller-on-her.html;666
Google Meet rolls out multi-device adaptive audio merging;https://workspaceupdates.googleblog.com/2024/05/google-meet-adaptive-audio.html;563
What the damaged Svalbard cable looked like;https://www.nrk.no/tromsogfinnmark/this-is-what-the-damaged-svalbard-cable-looked-like-when-it-came-up-from-the-depths-1.16895904;499
Big data is dead (2023);https://motherduck.com/blog/big-data-is-dead/;387
The t-test was invented at the Guinness brewery;https://www.scientificamerican.com/article/how-the-guinness-brewery-invented-the-most-important-statistical-method-in/;347
Hurl, the Exceptional Language;https://hurl.wtf/;302
Mediocre Engineer's Guide to HTTPS;https://devonperoutky.super.site/blog-posts/mediocre-engineers-guide-to-https;276
To the brain, reading computer code is not the same as reading language (2020);https://news.mit.edu/2020/brain-reading-computer-code-1215;273
The one-year anniversary of my total glossectomy;https://jakeseliger.com/2024/05/25/the-one-year-anniversary-of-my-total-glossectomy/;269
FILE_ID.DIZ Description (1994);http://pcmicro.com/getdiz/file_id.html;227
Show HN: Boldly go where Gradient Descent has never gone before with DiscoGrad;https://github.com/DiscoGrad/DiscoGrad;222
LO – simple WASM native language;https://github.com/glebbash/LO;206
"Instead of ""auth"", we should say ""permissions"" and ""login""";https://ntietz.com/blog/lets-say-instead-of-auth/;198
The CompCert C Compiler;https://compcert.org/compcert-C.html;180
Periodic Table of the Elements, in Pictures and Words (2005);https://elements.wlonk.com/;175
A 1.3B-light-year-across ring of galaxies has confounded astronomers;https://cosmosmagazine.com/space/astronomy/giant-structure-space-universe/;173
Self-hosted offline transcription and diarization service with LLM summary;https://github.com/transcriptionstream/transcriptionstream;173
Old dogs, new CSS tricks;https://mxb.dev/blog/old-dogs-new-css-tricks/;151
PcTattletale leaks victims' screen recordings to entire Internet;https://www.ericdaigle.ca/pctattletale-leaking-screen-captures/;150
The Evolution of Lisp (1993) [pdf];https://redirect.cs.umbc.edu/courses/331/resources/papers/Evolution-of-Lisp.pdf;145
My new PSU burns out I fix it, and torture it by cracking water;https://tomscii.sig7.se/2024/05/PSU-burnout-and-torture-cracking-water;123
Rete Algorithm;https://en.wikipedia.org/wiki/Rete_algorithm;120
Is regulated BGP security coming?;https://blog.apnic.net/2024/05/23/is-regulated-bgp-security-coming/;110
